인증업체코드,인증분야,인증분야명,name,lng,ltd,주소,전화
1,6,먹을만큼적당히,장충동 진두부집,127.0052969,37.5609353,서울특별시 중구 동호로24길 39 (장충동2가(지하1층지상1층2층)),02-2275-9345
2,6,먹을만큼적당히,아미소,126.984109,37.56245884,서울특별시 중구 명동4길 25 (명동2가외2필지 (지상5층)),02-756-3317
3,6,먹을만큼적당히,고시레,126.9884598,37.56201965,서울특별시 중구 명동8가길 61 1층 (충무로2가),02-3789-1357
4,1,위생등급제,KR 명동삼계탕,126.9821625,37.56107823,서울특별시 중구 명동8나길  49,02-778-7370
5,1,위생등급제,쿠우쿠우 명동본점,126.9853944,37.56414206,서울특별시 중구 명동길 55 4층 (명동1가),02-753-1230
6,1,위생등급제,(주)토다이명동점,126.9828864,37.56341012,서울특별시 중구 명동길 14 눈스퀘어 (지상7층),02-3783-4200
7,1,위생등급제,씨제이푸드빌(주)한쿡,126.9907611,37.5508583,서울특별시 용산구 남산공원길  126(전망1층 용산동),02-3455-9292
8,1,위생등급제,차돌집Ⅱ,126.9874457,37.53488507,서울특별시 용산구 녹사평대로40길 25 (이태원동(지상12층)),02-790-7090
9,1,위생등급제,차돌집,126.9872781,37.5357356,서울특별시 용산구 녹사평대로40길 5 (이태원동 540 지상12층),02-790-0789
10,1,위생등급제,한강집생태,126.9730175,37.53576204,서울특별시 용산구 백범로 400 (한강로1가 257-9 지상1층),02-716-7452
11,1,위생등급제,꽃산달,126.9552221,37.53602332,서울특별시 용산구 효창원로 53-12가 외 20필지 지하1층,02-707-1422
12,1,위생등급제,동천홍,126.9799029,37.54626907,서울특별시 용산구 두텁바위로 69 (후암동),02-779-7781
13,7,안심식육판매소,수협바다마트 동대문점,127.0118854,37.56918434,서울특별시 중구 마장로1길 25 지하1층 ,02-2232-6211
14,1,위생등급제,이가촌,126.9856119,37.5630681,서울특별시 중구 명동10길 19-3 (명동2가삼존빌딩 3층),02-754-0223
15,1,위생등급제,수원왕갈비,126.9851864,37.56306805,서울특별시 중구 명동10길 16-1 (명동2가(3층)),02-777-8680
16,1,위생등급제,베르쟈뎅,126.985829,37.56445566,서울특별시 중구 명동11길 9,02-756-1112
17,1,위생등급제,중일회관,126.9959178,37.53483521,서울특별시 용산구 이태원로 197 (이태원동 124-4 지상2층),02-794-3392
18,1,위생등급제,두바이(DUBAI),126.9953703,37.53436667,서울특별시 용산구 이태원로 192 (이태원동(지상2층)),02-798-9277
19,1,위생등급제,투게더,126.993108,37.52856412,서울특별시 용산구 장문로 23 (이태원동(지상1층)),02-792-1122
20,1,위생등급제,고인돌,126.993108,37.52856412,서울특별시 용산구 장문로 23 (이태원동(지하2층)),02-797-9434
21,1,위생등급제,칸지고고,126.9723027,37.57170448,서울특별시 종로구 새문안로3길 15 (당주동128-27외1필지동원리소스빌딩별관1층),02-730-3599
22,1,위생등급제,시골밥상,126.9735967,37.57446182,서울특별시 종로구 새문안로5가길 28 (적선동광화문쌍용빌딩 지108호),
23,1,위생등급제,죽전,126.9739678,37.57512864,서울특별시 종로구 새문안로5길 55 1층 (적선동),02-735-6565
24,1,위생등급제,미강,126.9745941,37.57086527,서울특별시 종로구 새문안로5길  5-3,02-733-1608
25,1,위생등급제,태백산맥,127.0081617,37.55220267,서울특별시 중구 다산로 85 3층 4층 (신당동),02-2237-0402
